index,Tweets
532,large water crossings effort straight donetsk city offensive russian lines surrounded sided hate charge logistics
534,war museum find kherson bunkers
536,mind think use himars
540,bakhmut late night geo
546,brady africk mapping ru entrenchments ukraine work showed yesterday
547,nice work worth follow
554,think monkey find handle
560,video importance ir drones daytime operations
564,mc donalds parking lot sold chicken mc nugget
567,it's like i'm sharing assassination coordinates
570,unit holding bakhmut defenses
571,don't think numbers accurate anymore think continued deploy mobiks
572,ben able use road bridge blown west ivanivske
573,ru claimed controlled like months ago
574,wise person told key remember zh rest easy true
575,good thing color coded map stupid ones
578,orange line weeks ago
580,russian force concentration based leaked dia documents
581,mind numbers weeks old accounts maneuvering battalions fact checked numbers visualization numbers documents
582,going kind pointless i'm busy stuff tabs stuff don't post update tomorrow stuff moving bakhmut
583,alex friend delivering aid ukraine trying raise funds ahead check story donorbox link
584,possible fake substack link
586,follower chucks best friend susbstack
590,proof google maps images
594,different gangs invader fight
595,chatgpt hller inte med
596,jag gillade framfrallt arvet efter arn
597,lokal frmga som sger t dem att komma tillbaks efter semestern
598,nr det blir krig kommer de skicka fram dialogpolisen fr att fienden hlla nere ovsendet
600,magyar ok despite vatnik rumors
602,think wrong seen moving trench tank starts ones fit dugouts sides close look
603,om du str fr det varfr raderade du tweeten
604,know russians probably alive tank burred think sending guys foot ended tank ammo think best situation
606,ammo pointing gun possibly mattered
607,tank probably pretty shitty condition usually chose sending tank away repaired keeping tank wont replacements sending away
609,i'm asking credentials buddy i'm speaking point view expressing view ask military experience having different point view
611,don't worry danish navy doesn't lot tanks
613,complain nearly getting stuck want twist tank digging argument sense ground soft
614,depends ask live perfect scenario world guys live world adapt reality ground limited ammo personnel
617,true built trenches fortified monthsyears trick
618,require tanks risk grasping straws it's textbook assault infantry suppressive fire ifv approaching
619,saw walk foot high quality drone asked ill ask infantry ground change equation
620,yell bad tactics want captured trench minimal risk ua lives
621,ho idea information suppressive fire moving plus drone coverage reached trench enemy suppressed hiding trench
622,enemy looks like having bad day lets ang privacy suggesting
625,risking units helped think it's easy look schoolbook criticize infantry support protected tank
629,video dropped kth follow tank trench combat near verkhn'okam'yans'ke close ua tank
630,time i've seen tanks use tactics crushing trenches it's weight
631,practicing magdump essential fine tune spray pray skills
632,kind local outbreak gonna work home
633,jus wanted help count money
634,vladlen tatarsky peace loving journalist died unfortunate explosive dildo accident yesterday objective journalism suffered huge loss
637,arrives form unblued statuette
638,great work brining attention
639,it's time right thing like encourage write timeline urge send donated money ukraine
640,like retweet attention promotion twitter algorithm lets money ukraine
642,it's time right thing
646,slowly surely things beginning crack
651,don't disagree i'm memes
654,beautiful it's gift russians
655,great work providing aid ukraine structured transparent like support work
659,imagine ruaf trying maintain logistics island baltic sea cant maintain logistics dnipro river
660,new highres video terra
661,seen intro includes russian airborne units guess height
668,numbers hear people trust
670,stockpile tosa ammo extremely limited words nonexistent
671,hear actually happened i'm saying wrong i've seen translation know talk tochka war people bend truth propaganda reasons
672,offended shows supporter rapists murderers
674,i'm sorry wanted enjoy opioid stare time
675,great respect people treat day april fools
677,guess ukrainians don't tosas
